Unique Skill Weapon,Name,AtkId,Phys MV,Magic MV,Fire MV,Ltng MV,Holy MV,Stam Dmg MV,Status MV,Weapon Buff MV,Poise Dmg MV,Atk Repel MV,StaminaCost,PhysAtkAttribute,Shield Chip,disableGuard,DamageLevel,dmgLevel_vsPlayer,ignoreDmgCount,AtkPhys,AtkMag,AtkFire,AtkLtng,AtkHoly,AtkStam,AtkSuperArmor,isAddBaseAtk,overwriteAttackElementCorrectId,isDisableBothHandsAtkBonus,IsArrowAtk,subCategory1,subCategory2,subCategory3,subCategory4,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,PvP Dmg Mult,PvP Stam Dmg Mult,PvP Poise Dmg Mult
,[Flail] Wild Strikes - Loop [1],301400800,126,126,126,126,126,138,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes - Loop [2],301400810,119,119,119,119,119,100,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R1 [1],301400801,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R1 [2],301400802,183,183,183,183,183,200,100,100,400,500,20,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R2 [1],301400803,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R2 [2],301400804,243,243,243,243,243,300,100,100,600,500,30,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes - Loop (Lacking FP),301400805,50,50,50,50,50,100,100,100,100,500,7,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R1 [1] (Lacking FP),301400806,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R1 [2] (Lacking FP),301400807,90,90,90,90,90,200,100,100,150,500,22,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R2 [1] (Lacking FP),301400808,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Flail] Wild Strikes R2 [2] (Lacking FP),301400809,90,90,90,90,90,300,100,100,200,500,32,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Lion's Claw,300300820,240,240,240,240,240,500,100,100,600,500,45,253,0,FALSE,6,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Lion's Claw (Lacking FP),300300821,138,138,138,138,138,100,100,100,250,300,45,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Savage Lion's Claw #1,600000140,195,195,195,195,195,300,100,100,250,500,37,253,0,FALSE,3,4,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Savage Lion's Claw #2 [1],600000141,68,68,68,68,68,200,100,100,200,500,20,253,0,FALSE,3,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Savage Lion's Claw #2 [2],600000142,155,155,155,155,155,400,100,100,400,500,30,253,0,FALSE,6,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Savage Lion's Claw #1 (Lacking FP),600000143,120,120,120,120,120,100,100,100,100,300,37,253,0,FALSE,3,4,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Savage Lion's Claw #2 [1] (Lacking FP),600000144,110,110,110,110,110,100,100,100,100,300,20,253,0,FALSE,3,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Savage Lion's Claw #2 [2] (Lacking FP),600000145,130,130,130,130,130,100,100,100,100,300,30,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,Redmane Battle Skill,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Cragblade [1],300000860,100,100,100,100,100,150,100,100,150,999,20,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Cragblade [2],300000861,80,80,80,80,80,100,100,100,100,999,20,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Cragblade [1] (Lacking FP),300000865,80,80,80,80,80,80,100,100,100,999,30,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6902,-1,-1,-1,-1,0.8,1.25,2.7
,Cragblade [2] (Lacking FP),300000866,70,70,70,70,70,80,100,100,100,999,30,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6902,-1,-1,-1,-1,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [1],600000010,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [2],600000010,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [3],600000010,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [4],600000010,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [5],600000011,115,115,115,115,115,150,65,90,100,9900,15,252,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [1],600000012,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [2],600000012,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [3],600000012,33,33,33,33,33,100,65,90,70,9900,3,252,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [4],600000013,125,125,125,125,125,150,65,90,240,9900,20,253,0,FALSE,4,0,FALSE,0,0,0,0,0,0,0,TRUE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [1] (Lacking FP),600000015,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [2] (Lacking FP),600000015,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [3] (Lacking FP),600000015,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [4] (Lacking FP),600000015,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #1 [5] (Lacking FP),600000016,50,50,50,50,50,150,65,90,50,9900,15,Strike,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [1] (Lacking FP),600000017,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [2] (Lacking FP),600000017,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [3] (Lacking FP),600000017,20,20,20,20,20,100,65,90,50,9900,3,Strike,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Spinning Gravity Thrust #2 [4] (Lacking FP),600000018,50,50,50,50,50,150,65,90,50,9900,20,Strike,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6904,-1,-1,-1,1667,0.8,1.25,2.7
,Kick,301100800,0,0,0,0,30,0,0,0,0,500,16,Strike,0,FALSE,5,0,FALSE,30,0,0,0,0,999,6,TRUE,50000,TRUE,FALSE,Weapon Skill,Kicking / Stomping Skill,-,-,-1,-1,-1,-1,-1,0.8,1.25,2.7
,Kick (Lacking FP),301100801,0,0,0,0,10,0,0,0,50,500,16,Strike,0,FALSE,1,0,FALSE,30,0,0,0,0,700,0,TRUE,50000,TRUE,FALSE,Weapon Skill,Kicking / Stomping Skill,-,-,-1,-1,-1,-1,-1,0.8,1.25,2.7
,Ground Slam - Tush,300000790,0,0,0,0,0,0,0,0,0,0,40,Strike,0,FALSE,6,0,FALSE,264,0,0,0,0,162,36,TRUE,51010,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Ground Slam - Shockwave,300000791,0,0,0,0,0,0,0,0,0,0,0,Standard,0,FALSE,3,0,FALSE,175,0,0,0,0,90,12,TRUE,51010,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
